DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Albania,2018,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Albania,2019,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Albania,2020,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Albania,2021,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Albania,2022,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Albania,2023,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Austria,2018,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Austria,2019,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Austria,2020,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Austria,2021,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Austria,2022,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Austria,2023,0.000,,
ESTAT:NRG_TI_EH(1.0),24/04/25 23:00:00,Annual,Electricity,Austria,Gigawatt-hour,Bosnia and Herzegovina,2018,0.000,,
