,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,161.126,162.74,156.6,156.807,158.712,154.612,158.71,133.209,140.886,127.719,132.971,102.241,94.18,92.127,91.8,86.765,80.038,72.155,71.866,70.992,60.914,65.4413,31.892,6.7229241
        Fossil fuels,361.442,364.835,365.426,388.591,383.051,383.747,386.138,397.892,385.399,352.439,363.3439,357.0474,360.9171,364.0777,342.4846,343.0874,353.6123,340.0581,321.3662,274.929,244.3158,274.6684,278.7447597,263.0143562
            Coal,296.687,293.734,299.594,304.627,298.76,288.142,288.935,297.106,275.208,253.447,253.6909,252.7454,265.8031,277.3347,264.0556,262.3514,254.0213,235.2061,221.9372,169.043,133.9115,162.8818,176.7482382,127.773
            Natural gas,52.495,58.43,54.511,63.876,64.098,74.036,76.762,79.593,90.283,82.118,90.352,87.229,77.602,68.737,62.27,63.017,82.294,87.685,83.425,90.753,96.285,97.025,86.145,89.122
            Oil,4.785,4.758,4.322,10.333,10.775,11.997,10.955,10.007,9.678,10.066,8.741,7.162,7.627,7.198,5.659,6.209,5.846,5.571,5.186,4.776,4.3743,4.2636,4.5405215,3.9563562
        Renewables,41.048,45.519,51.455,49.573,60.1672,66.1062,75.9594,93.4334,98.883,101.065,110.495,129.115,148.164,157.539,168.511,193.947,195.152,221.457,226.176,243.811,254.099,237.413,257.9320933,269.4728017
            Hydroelectricity,21.515,22.506,22.893,19.071,20.866,19.442,19.808,20.957,20.239,18.841,20.678,17.323,21.331,22.66,19.31,18.664,20.214,19.985,17.694,19.731,18.322,19.252,17.383,19.95763773
                Geothermal,0,0,0,0,0.0002,0.0002,0.0004,0.0004,0.018,0.019,0.02,0.019,0.025,0.069,0.067,0.091,0.164,0.157,0.126,0.144,0.173,0.174,0.1520002,0.1302857
                    Solar,0.06,0.116,0.188,0.333,0.557,1.282,2.22,3.075,4.42,6.584,11.729,19.599,26.38,31.01,36.056,38.726,38.098,39.401,42.607,43.513,48.525,48.373,57.8953631,59.701563
                Wind,9.352,10.456,15.856,19.087,26.019,27.774,31.324,40.507,41.385,39.42,37.793,48.883,50.671,51.708,57.357,79.084,78.416,103.707,107.889,123.545,129.644,112.517,123.74873,139.1090741
    Consumption,530.768,542.085,554.443,562.064,568.5542,567.8362,573.1964,576.3744,573.028,541.991,565.6619,557.8874,556.1301,555.0417,542.6056,547.7784,550.6093,551.9401,541.7352,527.24,511.0428,529.5246999,512.1934399,519.6908475
    Imports,45.134,45.779,48.37,49.107,48.187,56.861,48.464,45.953,41.67,41.859,42.962,51.003,46.268,39.222,40.435,37.008,28.338,27.842,31.727,40.126,47.853,51.731,49.2693067,69.353172
