Country Name,Country Code,2022
Aruba,ABW,180
Africa Eastern and Southern,AFE,15162009.03
Afghanistan,AFG,652860
Africa Western and Central,AFW,9166243
Angola,AGO,1246700
Albania,ALB,28750
Andorra,AND,470
Arab World,ARB,13160217.9
United Arab Emirates,ARE,98647.9
Argentina,ARG,2780400
Armenia,ARM,29740
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7741220
Austria,AUT,83879
Azerbaijan,AZE,86600
Burundi,BDI,27830
Belgium,BEL,30689
Benin,BEN,114760
Burkina Faso,BFA,274200
Bangladesh,BGD,147570
Bulgaria,BGR,111000
Bahrain,BHR,790
"Bahamas, The",BHS,13880
Bosnia and Herzegovina,BIH,51210
Belarus,BLR,207630
Belize,BLZ,22970
Bermuda,BMU,4290
Bolivia,BOL,1098580
Brazil,BRA,8510417.771
Barbados,BRB,430
Brunei Darussalam,BRN,5770
Bhutan,BTN,38390
Botswana,BWA,581730
Central African Republic,CAF,622980
Canada,CAN,15634410
Central Europe and the Baltics,CEB,1166817.47
Switzerland,CHE,41290.7
Channel Islands,CHI,
Chile,CHL,756700
China,CHN,9562910
Cote d'Ivoire,CIV,322460
Cameroon,CMR,475440
"Congo, Dem. Rep.",COD,2344860
"Congo, Rep.",COG,342000
Colombia,COL,1140619.05
Comoros,COM,1861
Cabo Verde,CPV,4030
Costa Rica,CRI,51100
Caribbean small states,CSS,418870
Cuba,CUB,109880
Curacao,CUW,444
Cayman Islands,CYM,264
Cyprus,CYP,9250
Czechia,CZE,78871.47
Germany,DEU,357600
Djibouti,DJI,23200
Dominica,DMA,750
Denmark,DNK,42920
Dominican Republic,DOM,146839.463
Algeria,DZA,2381741
East Asia & Pacific (excluding high income),EAP,16276153.52
Early-demographic dividend,EAR,34218036.93
East Asia & Pacific,EAS,24793721.79
Europe & Central Asia (excluding high income),ECA,6027254
Europe & Central Asia,ECS,28816870.72
Ecuador,ECU,256370
"Egypt, Arab Rep.",EGY,1001450
Euro area,EMU,2848739.651
Eritrea,ERI,121630.327
Spain,ESP,505978.281
Estonia,EST,45340
Ethiopia,ETH,1136239.7
European Union,EUU,4254541.121
Fragile and conflict affected situations,FCS,20751094.03
Finland,FIN,338470
Fiji,FJI,18270
France,FRA,549087.37
Faroe Islands,FRO,12960
"Micronesia, Fed. Sts.",FSM,700
Gabon,GAB,267670
United Kingdom,GBR,243610
Georgia,GEO,69700
Ghana,GHA,238533
Gibraltar,GIB,
Guinea,GIN,245860
"Gambia, The",GMB,11300
Guinea-Bissau,GNB,36130
Equatorial Guinea,GNQ,28050
Greece,GRC,131960
Grenada,GRD,340
Greenland,GRL,410450
Guatemala,GTM,108890
Guam,GUM,540
Guyana,GUY,214970
High income,HIC,60620754.89
"Hong Kong SAR, China",HKG,
Honduras,HND,112490
Heavily indebted poor countries (HIPC),HPC,19801739.03
Croatia,HRV,88070
Haiti,HTI,27750
Hungary,HUN,93030
IBRD only,IBD,72802986.8
IDA & IBRD total,IBT,98647131.83
IDA total,IDA,25844145.03
IDA blend,IDB,4663624
Indonesia,IDN,1916906.77
IDA only,IDX,21180521.03
Isle of Man,IMN,570
India,IND,3287260
Not classified,INX,
Ireland,IRL,70280
"Iran, Islamic Rep.",IRN,1745150
Iraq,IRQ,435050
Iceland,ISL,103000
Israel,ISR,
Italy,ITA,302070
Jamaica,JAM,10990
Jordan,JOR,89318
Japan,JPN,377969.27
Kazakhstan,KAZ,2724902
Kenya,KEN,580370
Kyrgyz Republic,KGZ,199950
Cambodia,KHM,181040
Kiribati,KIR,810
St. Kitts and Nevis,KNA,260
"Korea, Rep.",KOR,100440
Kuwait,KWT,17820
Latin America & Caribbean (excluding high income),LAC,18350973.28
Lao PDR,LAO,236800
Lebanon,LBN,10450
Liberia,LBR,111370
Libya,LBY,1759540
St. Lucia,LCA,620
Latin America & Caribbean,LCN,20517665.28
Least developed countries: UN classification,LDC,20775799.03
Low income,LIC,15028958.03
Liechtenstein,LIE,160
Sri Lanka,LKA,65610
Lower middle income,LMC,18487595
Low & middle income,LMY,78886651.83
Lesotho,LSO,30360
Late-demographic dividend,LTE,45774514.47
Lithuania,LTU,65286
Luxembourg,LUX,2590
Latvia,LVA,64590
"Macao SAR, China",MAC,
St. Martin (French part),MAF,50
Morocco,MAR,446550
Monaco,MCO,74.9
Moldova,MDA,33850
Madagascar,MDG,587295
Maldives,MDV,300
Middle East & North Africa,MEA,11357466.9
Mexico,MEX,1964375
Marshall Islands,MHL,180
Middle income,MIC,63857693.8
North Macedonia,MKD,25710
Mali,MLI,1240190
Malta,MLT,320
Myanmar,MMR,676590
Middle East & North Africa (excluding high income),MNA,8769209
Montenegro,MNE,13810
Mongolia,MNG,1564115.75
Northern Mariana Islands,MNP,460
Mozambique,MOZ,799380
Mauritania,MRT,1030700
Mauritius,MUS,2010
Malawi,MWI,118480
Malaysia,MYS,330411
North America,NAC,25470210
Namibia,NAM,824290
New Caledonia,NCL,18580
Niger,NER,1267000
Nigeria,NGA,923770
Nicaragua,NIC,130370
Netherlands,NLD,41540
Norway,NOR,624500
Nepal,NPL,147180
Nauru,NRU,20
New Zealand,NZL,267710
OECD members,OED,43471305.14
Oman,OMN,309500
Other small states,OSS,281781
Pakistan,PAK,796100
Panama,PAN,75320
Peru,PER,1285220
Philippines,PHL,300000
Palau,PLW,460
Papua New Guinea,PNG,462840
Poland,POL,312720
Pre-demographic dividend,PRE,20691199.33
Puerto Rico,PRI,8870
"Korea, Dem. People's Rep.",PRK,120540
Portugal,PRT,92230
Paraguay,PRY,406752
West Bank and Gaza,PSE,
Pacific island small states,PSS,65150
Post-demographic dividend,PST,39301459.09
French Polynesia,PYF,3471
Qatar,QAT,11490
Romania,ROU,238400
Russian Federation,RUS,17098250
Rwanda,RWA,26340
South Asia,SAS,5135270
Saudi Arabia,SAU,2149690
Sudan,SDN,1878000
Senegal,SEN,196710
Singapore,SGP,728
Solomon Islands,SLB,28900
Sierra Leone,SLE,72300
El Salvador,SLV,21040
San Marino,SMR,60
Somalia,SOM,637660
Serbia,SRB,84990
Sub-Saharan Africa (excluding high income),SSA,24327792.03
South Sudan,SSD,646883
Sub-Saharan Africa,SSF,24328252.03
Small states,SST,765801
Sao Tome and Principe,STP,960
Suriname,SUR,163820
Slovak Republic,SVK,49030
Slovenia,SVN,20480
Sweden,SWE,528860
Eswatini,SWZ,17360
Sint Maarten (Dutch part),SXM,34
Seychelles,SYC,460
Syrian Arab Republic,SYR,185180
Turks and Caicos Islands,TCA,950
Chad,TCD,1284000
East Asia & Pacific (IDA & IBRD countries),TEA,16156093.52
Europe & Central Asia (IDA & IBRD countries),TEC,23875694
Togo,TGO,56790
Thailand,THA,513120
Tajikistan,TJK,141379
Turkmenistan,TKM,491209
Latin America & the Caribbean (IDA & IBRD countries),TLA,20382613.28
Timor-Leste,TLS,14870
Middle East & North Africa (IDA & IBRD countries),TMN,8769209
Tonga,TON,750
South Asia (IDA & IBRD),TSA,5135270
Sub-Saharan Africa (IDA & IBRD countries),TSS,24328252.03
Trinidad and Tobago,TTO,5130
Tunisia,TUN,163610
Turkiye,TUR,785350
Tuvalu,TUV,30
Tanzania,TZA,947300
Uganda,UGA,241550
Ukraine,UKR,603550
Upper middle income,UMC,45370098.8
Uruguay,URY,176220
United States,USA,9831510
Uzbekistan,UZB,448924
St. Vincent and the Grenadines,VCT,390
"Venezuela, RB",VEN,912050
British Virgin Islands,VGB,150
Virgin Islands (U.S.),VIR,350
Viet Nam,VNM,331340
Vanuatu,VUT,12190
World,WLD,140419456.7
Samoa,WSM,2840
Kosovo,XKX,
"Yemen, Rep.",YEM,527970
South Africa,ZAF,1219090
Zambia,ZMB,752610
Zimbabwe,ZWE,390760
