Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,271111,"Natural gas, liquefied",2023, World,       67505061.02,9.13638e+010,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,United States,       28986678.54,3.83535e+010,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Russian Federation,        8752081.01,1.24141e+010,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Qatar,        8368063.88,1.18419e+010,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Algeria,        6564757.65,8.98701e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Nigeria,        3247256.08,5.86853e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Norway,        3170493.26,3.74442e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Angola,        1758438.81,2.24942e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,United Kingdom,        1353373.78,1.55396e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Trinidad and Tobago,        1248155.28,1.81493e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Equatorial Guinea,         938510.99,1.04619e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,"Egypt, Arab Rep.",         847190.00,9.18198e+008,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Cameroon,         759257.30,1.07862e+009,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Oman,         684165.76,4.16885e+008,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Peru,         299407.86,5.54713e+008,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Mozambique,         243981.40,1.76477e+008,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Liberia,          78549.22,1.06311e+008,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Gibraltar,          75266.24,8.58603e+007,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Turkey,          72005.03,6.05035e+007,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Indonesia,          36856.61,6.93608e+007,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Unspecified,          15132.77,1.66031e+007,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Australia,           3657.81,4.64266e+006,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Malaysia,           1762.87,1.676e+006,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Singapore,             10.65,16533,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,"Korea, Rep.",              3.15,4264.43,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,Cote d'Ivoire,              2.94,4024,Kg
European Union,Import,271111,"Natural gas, liquefied",2023,India,              2.13,1762,Kg
