Type,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nuclear,113.62,113.24,92.91,94.335,103.32,104.5,98.33,110.91,122.455,125.36,134.14,141.17,137.469,137.6388,144.6457,147.9899,152.0578,152.7776,159.4113,162.0181,166.2934,161.3796,169.065,182.807,184.054,190.115,181.765,195.535,215.745,222.437,223.372,217
Fossil fuels,679.62,627.92,540.362,545.957,547.835,533.179,530.088,527.223,573.213,569.39,576.473,599.397,600.127,619.819,651.848,666.309,700.798,642.28,688.691,703.792,718.336,696.07,697.842,693.399,697.682,693.7948,706.755,702.2744,643.9749,701.5027,703.187028,694.7776409
 Coal,NA,NA,NA,NA,NA,NA,NA,NA,163.885,156.479,158.286,158.838,146.748,153.127,160.709,154.848,183.207,150.338,151.606,150.108,160.867,152.904,148.993,148.546,158.409,161.9359,164.4099,170.6161,159.4324,170.8774,167.3407,165.229222
Natural gas,NA,NA,NA,NA,NA,NA,NA,NA,370.372,376.744,384.744,406.758,422.437,439.312,457.749,486.713,494.716,469.034,520.529,519.202,525.377,529.974,533.493,529.749,521.788,518.4738,527.5876,514.278,468.7525,513.8804,519.448,513.0933325
Oil,NA,NA,NA,NA,NA,NA,NA,NA,33.091,30.02,27.413,27.115,23.912,21.218,24.37,17.234,16.104,16.021,9.312,27.362,28.062,8.706,10.703,10.102,10.968,6.9756,8.0068,8.5583,7.4885,8.5277,8.351200754,8.40965994
Renewables,172.006,173.449,174.868,175.266,153.379,156.579,158.461,160.992,166.675,176.861,165.18,157.903,178.041,175.732,176.561,179.537,167.777,177.294,169.766,169.148,169.414,184.526,179.081,171.752,188.132,188.8239,195.1334,199.619,219.8444,224.4086,209.678,212.6676002
Hydroelectricity,170.125,171.665,173.228,173.657,151.795,155.018,156.912,158.887,164.077,173.899,162.217,155.762,175.823,172.677,173.353,177.048,164.763,174.183,166.483,165.844,165.898,181.151,175.267,167.993,184.612,185.0132,191.1423,194.7174,212.5864,214.476,197.346,198
Geothermal,0.029,0.028,0.031,0.03,0.028,0.029,0.03,0.028,0.058,0.091,0.156,0.324,0.403,0.41,0.463,0.485,0.465,0.464,0.505,0.522,0.477,0.444,0.455,0.457,0.446,0.435,0.4263,0.4327,0.4214,0.4297,0.449,0.448259312
"Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.16,0.335,0.462,0.5575,0.7199,1.2794,2.0224,2.2245,2.556,2.794116113
Wind,0,0,0,0,0,0,0,0.002,0.002,0.003,0.006,0.009,0.007,0.007,0.005,0.007,0.005,0.004,0.004,0.005,0.005,0.005,0.096,0.148,0.148,0.1401,0.2319,0.3308,1.2409,3.3113,5.548,7.646224748
Consumption,864.351,807.823,701.881,712.081,700.221,689.786,675.259,688.434,746.128,749.48,754.485,773.805,794.641,807.4508,848.8817,875.4089,892.9808,849.9295,894.6943,906.4551,930.1154,920.4686,930.329,928.726,947.148,956.0297,967.1784,979.2034,972.5343,1028.4143,1020.674028,1010.631537
Imports,27.15,24.681,23.7,18.38,12.3,7.1,8.3,8.35,8.795,9.798,5.154,8.24,12.179,10.139,5.115,5.67,3.105,3.0659,1.644,1.558,2.661,4.706,6.623,6.586,3.194,6.41,5.177,1.618,1.378,1.564,1.574,2.852232291
Exports,43.952,43.4,44.1,37.982,31.75,26.8,26.3,22.521,22.85,25.659,18.097,21.619,19.8,22.52,20.927,18.468,20.738,17.923,19.091,24.111,19.143,18.382,14.671,18.244,17.694,17.006,17.779,20.049,12.116,22.903,17.97,18.65970588
